,block_id,first_digits,second_digits,third_digits,message,event_type
0,blk_-5057834626410636236,081110,104936,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
1,blk_-2526833798441848968,081110,212435,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
2,blk_-2610256770731596149,081110,212435,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
3,blk_-6538891058531862642,081110,212435,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
4,blk_-6836377952319775628,081110,212435,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
5,blk_7507915719221132002,081110,212435,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
6,blk_-1211781722321304892,081110,222935,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
7,blk_-2050680036790202655,081110,222935,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
8,blk_2184035180498068953,081110,222935,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
9,blk_3331834872146796071,081110,222935,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
10,blk_-3611012490557797714,081110,222935,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
11,blk_-6212678299362822522,081110,222935,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
12,blk_70222719038595623,081110,222935,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
13,blk_7557534296554263270,081110,222935,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
14,blk_1302833133980493254,081111,050934,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
15,blk_1504547689884792787,081111,050934,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
16,blk_1606035298045716972,081111,050934,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
17,blk_274401605260075764,081111,050934,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
18,blk_3387295944426573478,081111,050934,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
19,blk_3473221768000158666,081111,050934,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
20,blk_-1671861573307071474,081111,071434,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
21,blk_-1734950946473392399,081111,071434,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
22,blk_1877865204062154064,081111,071434,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
23,blk_-1970432071909839194,081111,071434,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
24,blk_3338061113250311986,081111,071434,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
25,blk_3451995367260809125,081111,071434,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
26,blk_47143009133205275,081111,071434,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
27,blk_508142918386110029,081111,071434,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
28,blk_6040456330307032992,081111,071434,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
29,blk_-6572930889846498614,081111,071434,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
30,blk_7129953017403442650,081111,071434,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
31,blk_813175694343462721,081111,071434,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
32,blk_8855628190418004805,081111,071434,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
33,blk_896379480340635354,081111,071434,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
34,blk_508142918386110029,081111,072433,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
35,blk_-2448583810301041956,081111,072933,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
36,blk_-3615472149084784033,081111,081933,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
37,blk_-3636293611257652136,081111,081933,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
38,blk_5390605555590308923,081111,081933,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
39,blk_6638764246480158119,081111,081933,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
40,blk_-74511355666073839,081111,081933,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
41,blk_7942900066050332481,081111,081933,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
42,blk_8620168693542617014,081111,081933,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
43,blk_8685978339834488699,081111,081933,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
44,blk_-3485016275685568251,081111,092433,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
45,blk_6180515937140679205,081111,092433,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
46,blk_6821228329171782981,081111,092433,16,WARN,dfs.PendingReplicationBlocks$PendingReplicationMonitor:
